0-09 10:26:33,261 INFO org.apache.hadoop.metrics2.impl.MetricsConfig: loaded properties from hadoop-metrics2.properties
2014-10-09 10:26:33,332 INFO org.apache.hadoop.metrics2.impl.MetricsSystemImpl: Scheduled snapshot period at 10 second(s).
2014-10-09 10:26:33,332 INFO org.apache.hadoop.metrics2.impl.MetricsSystemImpl: NameNode metrics system started
2014-10-09 10:26:33,498 WARN org.apache.hadoop.hdfs.server.namenode.FSNamesystem: Only one image storage directory (dfs.namenode.name.dir) configured. Beware of dataloss due to lack of redundant storage directories!
2014-10-09 10:26:33,498 WARN org.apache.hadoop.hdfs.server.namenode.FSNamesystem: Only one namespace edits storage directory (dfs.namenode.edits.dir) configured. Beware of dataloss due to lack of redundant storage directories!
2014-10-09 10:26:33,549 INFO org.apache.hadoop.util.HostsFileReader: Refreshing hosts (include/exclude) list
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding compute-10-31.tier2 to the list of hosts from /etc/hadoop/conf/hosts_exclude
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding compute-12-21.tier2 to the list of hosts from /etc/hadoop/conf/hosts_exclude
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding datanode-12-5.local to the list of hosts from /etc/hadoop/conf/hosts_exclude
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding datanode-12-6.local to the list of hosts from /etc/hadoop/conf/hosts_exclude
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding datanode-15-4.local to the list of hosts from /etc/hadoop/conf/hosts_exclude
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding datanode-11-29.local to the list of hosts from /etc/hadoop/conf/hosts_exclude
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding datanode-13-10.local to the list of hosts from /etc/hadoop/conf/hosts_exclude
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding datanode-15-1.local to the list of hosts from /etc/hadoop/conf/hosts_exclude
2014-10-09 10:26:33,550 INFO org.apache.hadoop.util.HostsFileReader: Adding datanode-15-2.local to the list of hosts from /etc/hadoop/conf/hosts_exclude
